market_hash_name,currency,min_price,max_price,mean_price,median_price,quantity_sold,source,scraped_at
M4A1-S | Wash me plz (Field-Tested),USD,0.07,0.07,0.07,0.07,35643,steam_market,2026-04-27T09:42:44.430696+00:00
FAMAS | Valence (Field-Tested),USD,5.32,5.32,5.32,5.32,180,steam_market,2026-04-27T09:42:44.430704+00:00
M4A1-S | Electrum (Well-Worn),USD,2.73,2.73,2.73,2.73,413,steam_market,2026-04-27T09:42:44.430709+00:00
AK-47 | Elite Build (Minimal Wear),USD,4.91,4.91,4.91,4.91,1175,steam_market,2026-04-27T09:42:44.430716+00:00
AK-47 | Wintergreen (Minimal Wear),USD,4.25,4.25,4.25,4.25,976,steam_market,2026-04-27T09:42:44.430722+00:00
AK-47 | Olive Polycam (Minimal Wear),USD,0.27,0.27,0.27,0.27,21687,steam_market,2026-04-27T09:42:44.430728+00:00
AK-47 | VariCamo Grey (Factory New),USD,1.27,1.27,1.27,1.27,1045,steam_market,2026-04-27T09:42:44.430733+00:00
AK-47 | Emerald Pinstripe (Field-Tested),USD,4.39,4.39,4.39,4.39,733,steam_market,2026-04-27T09:42:44.430738+00:00
M4A4 | Zubastick (Minimal Wear),USD,0.72,0.72,0.72,0.72,357,steam_market,2026-04-27T09:43:25.343090+00:00
StatTrak™ M4A1-S | Emphorosaur-S (Field-Tested),USD,1.92,1.92,1.92,1.92,1134,steam_market,2026-04-27T09:43:25.343118+00:00
StatTrak™ M4A4 | Etch Lord (Minimal Wear),USD,4.49,4.49,4.49,4.49,309,steam_market,2026-04-27T09:43:25.343126+00:00
M4A1-S | Nitro (Minimal Wear),USD,1.67,1.67,1.67,1.67,1254,steam_market,2026-04-27T09:43:25.343132+00:00
AK-47 | The Outsiders (Battle-Scarred),USD,10.94,10.94,10.94,10.94,144,steam_market,2026-04-27T09:43:25.343138+00:00
M4A4 | Etch Lord (Field-Tested),USD,0.75,0.75,0.75,0.75,1431,steam_market,2026-04-27T09:43:25.343144+00:00
AK-47 | Elite Build (Well-Worn),USD,2.43,2.43,2.43,2.43,2122,steam_market,2026-04-27T09:43:25.343151+00:00
M4A1-S | Black Lotus (Battle-Scarred),USD,7.7,7.7,7.7,7.7,331,steam_market,2026-04-27T09:43:25.343157+00:00
M4A1-S | Nightmare (Well-Worn),USD,10.54,10.54,10.54,10.54,164,steam_market,2026-04-27T09:43:25.343163+00:00
Galil AR | Chromatic Aberration (Minimal Wear),USD,10.53,10.53,10.53,10.53,108,steam_market,2026-04-27T09:43:25.343169+00:00
M4A1-S | Nitro (Battle-Scarred),USD,0.65,0.65,0.65,0.65,1699,steam_market,2026-04-27T09:43:27.447850+00:00
AUG | Momentum (Field-Tested),USD,8.59,8.59,8.59,8.59,146,steam_market,2026-04-27T09:43:27.447889+00:00
StatTrak™ M4A1-S | Electrum (Field-Tested),USD,10.42,10.42,10.42,10.42,127,steam_market,2026-04-27T09:43:27.447894+00:00
Galil AR | Galigator (Battle-Scarred),USD,1.46,1.46,1.46,1.46,74,steam_market,2026-04-27T09:43:27.447896+00:00
M4A1-S | Night Terror (Factory New),USD,4.19,4.19,4.19,4.19,570,steam_market,2026-04-27T09:43:27.447898+00:00
M4A1-S | Wash me plz (Factory New),USD,0.84,0.84,0.84,0.84,2990,steam_market,2026-04-27T09:43:27.447901+00:00
M4A4 | Choppa (Factory New),USD,3.45,3.45,3.45,3.45,371,steam_market,2026-04-27T09:43:27.447913+00:00
M4A4 | Tooth Fairy (Minimal Wear),USD,9.1,9.1,9.1,9.1,265,steam_market,2026-04-27T09:43:27.447916+00:00
Galil AR | Control (Field-Tested),USD,0.73,0.73,0.73,0.73,2162,steam_market,2026-04-27T09:43:27.447918+00:00
AK-47 | Rat Rod (Field-Tested),USD,6.27,6.27,6.27,6.27,388,steam_market,2026-04-27T09:43:27.447921+00:00
FAMAS | Rapid Eye Movement (Battle-Scarred),USD,8.64,8.64,8.64,8.64,273,steam_market,2026-04-27T09:43:29.655528+00:00
Galil AR | Connexion (Minimal Wear),USD,1.29,1.29,1.29,1.29,229,steam_market,2026-04-27T09:43:29.655548+00:00
AK-47 | Safari Mesh (Minimal Wear),USD,0.43,0.43,0.43,0.43,6269,steam_market,2026-04-27T09:43:29.655552+00:00
M4A1-S | Stratosphere (Battle-Scarred),USD,7.6,7.6,7.6,7.6,158,steam_market,2026-04-27T09:43:29.655555+00:00
M4A4 | Converter (Minimal Wear),USD,1.72,1.72,1.72,1.72,568,steam_market,2026-04-27T09:43:29.655557+00:00
M4A1-S | Mud-Spec (Factory New),USD,7.25,7.25,7.25,7.25,253,steam_market,2026-04-27T09:43:29.655560+00:00
AK-47 | Uncharted (Minimal Wear),USD,1.5,1.5,1.5,1.5,1914,steam_market,2026-04-27T09:43:29.655562+00:00
AK-47 | VariCamo Grey (Minimal Wear),USD,0.27,0.27,0.27,0.27,7243,steam_market,2026-04-27T09:43:29.655564+00:00
M4A1-S | Emphorosaur-S (Battle-Scarred),USD,0.72,0.72,0.72,0.72,1917,steam_market,2026-04-27T09:43:29.655566+00:00
SG 553 | Dragon Tech (Field-Tested),USD,0.66,0.66,0.66,0.66,2592,steam_market,2026-04-27T09:43:29.655569+00:00
M4A1-S | Control Panel (Battle-Scarred),USD,7.01,7.01,7.01,7.01,133,steam_market,2026-04-27T09:43:32.717793+00:00
M4A1-S | Flashback (Field-Tested),USD,5.67,5.67,5.67,5.67,629,steam_market,2026-04-27T09:43:32.717816+00:00
M4A4 | Sheet Lightning (Field-Tested),USD,1.67,1.67,1.67,1.67,671,steam_market,2026-04-27T09:43:32.717820+00:00
M4A4 | Tooth Fairy (Battle-Scarred),USD,5.29,5.29,5.29,5.29,129,steam_market,2026-04-27T09:43:32.717823+00:00
Galil AR | Green Apple (Field-Tested),USD,0.14,0.14,0.14,0.14,4284,steam_market,2026-04-27T09:43:32.717825+00:00
AK-47 | Rat Rod (Battle-Scarred),USD,6.16,6.16,6.16,6.16,132,steam_market,2026-04-27T09:43:32.717827+00:00
M4A4 | Choppa (Minimal Wear),USD,0.39,0.39,0.39,0.39,1172,steam_market,2026-04-27T09:43:32.717830+00:00
Galil AR | Chromatic Aberration (Field-Tested),USD,6.26,6.26,6.26,6.26,208,steam_market,2026-04-27T09:43:32.717832+00:00
M4A1-S | Liquidation (Well-Worn),USD,2.48,2.48,2.48,2.48,1369,steam_market,2026-04-27T09:43:32.717835+00:00
Galil AR | Sky Mandala (Field-Tested),USD,0.57,0.57,0.57,0.57,736,steam_market,2026-04-27T09:43:32.717838+00:00
AUG | Creep (Field-Tested),USD,0.46,0.46,0.46,0.46,324,steam_market,2026-04-27T09:43:35.432446+00:00
M4A4 | Sheet Lightning (Minimal Wear),USD,5.57,5.57,5.57,5.57,370,steam_market,2026-04-27T09:43:35.432466+00:00
AK-47 | Breakthrough (Field-Tested),USD,5.03,5.03,5.03,5.03,394,steam_market,2026-04-27T09:43:35.432469+00:00
Galil AR | Galigator (Well-Worn),USD,1.7,1.7,1.7,1.7,93,steam_market,2026-04-27T09:43:35.432472+00:00
StatTrak™ M4A4 | Zubastick (Field-Tested),USD,1.39,1.39,1.39,1.39,95,steam_market,2026-04-27T09:43:35.432474+00:00
M4A4 | Turbine (Minimal Wear),USD,5.06,5.06,5.06,5.06,152,steam_market,2026-04-27T09:43:35.432477+00:00
FAMAS | Meow 36 (Field-Tested),USD,0.13,0.13,0.13,0.13,2050,steam_market,2026-04-27T09:43:35.432479+00:00
M4A4 | Evil Daimyo (Field-Tested),USD,4.75,4.75,4.75,4.75,338,steam_market,2026-04-27T09:43:35.432482+00:00
SG 553 | Danger Close (Field-Tested),USD,0.29,0.29,0.29,0.29,966,steam_market,2026-04-27T09:43:35.432484+00:00
FAMAS | Half Sleeve (Minimal Wear),USD,0.27,0.27,0.27,0.27,4810,steam_market,2026-04-27T09:43:35.432486+00:00
M4A4 | Aeolian Dark (Factory New),USD,0.81,0.81,0.81,0.81,581,steam_market,2026-04-27T09:43:38.617522+00:00
M4A1-S | Wash me plz (Minimal Wear),USD,0.14,0.14,0.14,0.14,12636,steam_market,2026-04-27T09:43:38.617547+00:00
AK-47 | Crossfade (Minimal Wear),USD,4.72,4.72,4.72,4.72,467,steam_market,2026-04-27T09:43:38.617551+00:00
M4A4 | Converter (Factory New),USD,3.77,3.77,3.77,3.77,617,steam_market,2026-04-27T09:43:38.617554+00:00
SG 553 | Basket Halftone (Factory New),USD,0.31,0.31,0.31,0.31,715,steam_market,2026-04-27T09:43:38.617557+00:00
