"market_hash_name","currency","min_price","max_price","mean_price","median_price","quantity_sold"
"AK-47 | Midnight Laminate (Well-Worn)","USD",8.9,20.89,14.24,12.99,6
"AK-47 | Neon Revolution (Battle-Scarred)","USD",109.69,119.12,114.15,113.88,10
"AK-47 | Neon Revolution (Factory New)","USD",429.33,800.86,552.83,508.98,17
"AK-47 | Neon Revolution (Field-Tested)","USD",112.25,669.72,137.24,119.68,111
"AK-47 | Neon Revolution (Minimal Wear)","USD",117.55,292.96,161.98,137.77,72
"AK-47 | Neon Revolution (Well-Worn)","USD",109.88,138.57,118.79,113.02,6
"AK-47 | Neon Rider (Battle-Scarred)","USD",51.21,61.6,55.81,55.07,9
"AK-47 | Neon Rider (Factory New)","USD",369.21,836.41,452.26,401.85,16
"AK-47 | Neon Rider (Field-Tested)","USD",55.98,2683.67,173.42,83.63,39
"AK-47 | Neon Rider (Minimal Wear)","USD",95.34,716.92,136.81,107.54,38
"AK-47 | Neon Rider (Well-Worn)","USD",62.13,75.06,66.23,63.88,4
"AK-47 | Nightwish (Battle-Scarred)","USD",74.68,3929.32,235.01,80.27,25
"AK-47 | Nightwish (Factory New)","USD",153.8,657.37,209.56,184.19,39
"AK-47 | Nightwish (Field-Tested)","USD",77.93,477.95,100.85,85.21,226
"AK-47 | Nightwish (Minimal Wear)","USD",80.06,748.19,115.53,91.65,209
"AK-47 | Nightwish (Well-Worn)","USD",74.08,102.41,82.4,81.25,79
"AK-47 | Nouveau Rouge (Battle-Scarred)","USD",15.58,25.46,21.36,23.05,3
"AK-47 | Nouveau Rouge (Factory New)","USD",197.22,476.59,256.61,225.32,21
"AK-47 | Nouveau Rouge (Field-Tested)","USD",25.61,119.49,37.88,31.6,38
"AK-47 | Nouveau Rouge (Minimal Wear)","USD",76.89,1200.48,208.72,107.54,11
"AK-47 | Nouveau Rouge (Well-Worn)","USD",18.14,65.71,27.22,20.03,23
"AK-47 | Olive Polycam (Battle-Scarred)","USD",0.18,0.86,0.31,0.26,16
"AK-47 | Olive Polycam (Factory New)","USD",1.33,57.87,5.31,2.44,510
"AK-47 | Olive Polycam (Field-Tested)","USD",0.1,10.75,0.81,0.25,413
"AK-47 | Olive Polycam (Minimal Wear)","USD",0.25,118.29,1.57,0.69,552
"AK-47 | Olive Polycam (Well-Worn)","USD",0.12,10.16,1.15,0.31,40
"AK-47 | Orbit Mk01 (Battle-Scarred)","USD",34.47,34.47,34.47,34.47,1
"AK-47 | Orbit Mk01 (Factory New)","USD",201.93,1075.38,349.93,258.07,8
"AK-47 | Orbit Mk01 (Field-Tested)","USD",38.69,107.53,55.38,56.03,12
"AK-47 | Phantom Disruptor (Factory New)","USD",51.04,238.97,80.38,59.74,37
"AK-47 | Phantom Disruptor (Field-Tested)","USD",8.35,657.18,38.56,11.92,70
"AK-47 | Phantom Disruptor (Minimal Wear)","USD",11.24,667.33,29.45,13.08,64
"AK-47 | Phantom Disruptor (Well-Worn)","USD",8.95,14.33,11.41,11.03,8
"AK-47 | Point Disarray (Battle-Scarred)","USD",40.29,863.89,208.25,41.81,5
"AK-47 | Point Disarray (Factory New)","USD",138.26,601.63,320.3,302.52,16
"AK-47 | Point Disarray (Field-Tested)","USD",19.27,92.81,42.49,38.36,28
"AK-47 | Point Disarray (Minimal Wear)","USD",29.43,6888.42,337.12,37.03,47
"AK-47 | Point Disarray (Well-Worn)","USD",23.78,23.9,23.85,23.89,3
"AK-47 | Predator (Battle-Scarred)","USD",30.73,55.07,42.91,42.91,2
"AK-47 | Predator (Factory New)","USD",72.01,441.98,214.61,208.96,5
"AK-47 | Predator (Field-Tested)","USD",13.98,879.73,97.61,40.96,35
"AK-47 | Predator (Minimal Wear)","USD",19.08,567.54,90.32,47.79,25
"AK-47 | Predator (Well-Worn)","USD",14.55,19.14,16.79,16.66,3
"AK-47 | Rat Rod (Battle-Scarred)","USD",5.51,255.45,40.65,6.57,13
"AK-47 | Rat Rod (Factory New)","USD",194.76,573.91,277.2,250.91,14
"AK-47 | Rat Rod (Field-Tested)","USD",6.06,219.26,10.3,8.24,114
"AK-47 | Rat Rod (Minimal Wear)","USD",21.29,143.38,38.62,27.94,11
"AK-47 | Rat Rod (Well-Worn)","USD",5.71,65.72,11.77,6.57,22
"AK-47 | Red Laminate (Battle-Scarred)","USD",119.47,597.43,261.17,156.23,6
"AK-47 | Red Laminate (Factory New)","USD",1194.87,1194.87,1194.87,1194.87,1
"AK-47 | Red Laminate (Field-Tested)","USD",69.98,1280.18,301.43,199.18,57
"AK-47 | Red Laminate (Minimal Wear)","USD",211.95,4415.41,700.52,320.62,29
"AK-47 | Red Laminate (Well-Worn)","USD",81.14,1024.15,365.64,178.63,4
"AK-47 | Redline (Battle-Scarred)","USD",30.91,737.81,90.87,43.0,23
"AK-47 | Redline (Field-Tested)","USD",37.51,20653.3,227.12,71.68,464
"AK-47 | Redline (Minimal Wear)","USD",212.94,1074.19,351.32,280.85,75
"AK-47 | Redline (Well-Worn)","USD",32.24,1792.3,307.64,46.77,8
"AK-47 | Safari Mesh (Battle-Scarred)","USD",0.08,37.87,1.11,0.33,228
"AK-47 | Safari Mesh (Factory New)","USD",13.75,535.71,71.32,28.82,32
"AK-47 | Safari Mesh (Field-Tested)","USD",0.06,265.46,1.12,0.54,1387
"AK-47 | Safari Mesh (Minimal Wear)","USD",0.33,122.89,4.88,1.79,250
"AK-47 | Safari Mesh (Well-Worn)","USD",0.08,47.79,1.11,0.45,211
"AK-47 | Safety Net (Battle-Scarred)","USD",3.52,104.0,19.14,8.95,12
"AK-47 | Safety Net (Factory New)","USD",18.95,275.9,47.04,28.08,76
"AK-47 | Safety Net (Field-Tested)","USD",3.9,56.09,9.52,5.32,33
"AK-47 | Safety Net (Minimal Wear)","USD",5.25,179.23,12.92,5.6,125
"AK-47 | Safety Net (Well-Worn)","USD",3.91,200.74,22.16,5.36,12
"Sticker | NiKo | Antwerp 2022","USD",0.08,5.39,1.08,1.14,68
"AK-47 | Searing Rage (Battle-Scarred)","USD",4.96,307.61,24.03,7.96,32
"AK-47 | Searing Rage (Factory New)","USD",59.74,477.95,144.2,96.5,36
"AK-47 | Searing Rage (Field-Tested)","USD",6.58,218.06,29.08,7.16,121
"AK-47 | Searing Rage (Minimal Wear)","USD",11.49,205.52,17.96,12.55,58
"AK-47 | Searing Rage (Well-Worn)","USD",5.5,22.5,6.75,5.97,84
"AK-47 | Slate (Battle-Scarred)","USD",4.84,154.76,19.7,11.94,127
"AK-47 | Slate (Factory New)","USD",19.75,1839.09,77.97,35.56,138
"AK-47 | Slate (Field-Tested)","USD",5.76,283.78,10.32,5.99,890
"AK-47 | Slate (Minimal Wear)","USD",9.18,322.18,18.14,10.57,467
"AK-47 | Slate (Well-Worn)","USD",5.08,122.47,14.67,8.45,112
"AK-47 | Steel Delta (Battle-Scarred)","USD",2.99,23.9,6.06,4.04,15
"AK-47 | Steel Delta (Factory New)","USD",24.48,2150.76,96.46,31.07,57
"AK-47 | Steel Delta (Field-Tested)","USD",3.24,39.73,5.88,4.73,67
"AK-47 | Steel Delta (Minimal Wear)","USD",6.34,119.49,17.58,8.38,16
"AK-47 | Steel Delta (Well-Worn)","USD",4.03,6.42,5.52,6.17,16
"AK-47 | The Empress (Battle-Scarred)","USD",95.59,170.87,111.34,104.5,41
"AK-47 | The Empress (Factory New)","USD",373.81,595.92,446.03,426.36,23
"AK-47 | The Empress (Field-Tested)","USD",98.4,53876.62,466.18,107.65,164
"AK-47 | The Empress (Minimal Wear)","USD",107.94,408.72,135.15,122.47,89
"AK-47 | The Empress (Well-Worn)","USD",95.91,2215.88,143.04,103.95,64
"AK-47 | The Oligarch (Battle-Scarred)","USD",51.74,146.97,80.56,84.14,14
"AK-47 | The Oligarch (Factory New)","USD",485.69,1605.31,762.21,677.77,11
"AK-47 | The Oligarch (Field-Tested)","USD",107.54,1139.19,172.49,131.42,30
"Sticker | NiKo | Austin 2025","USD",0.48,1.31,0.75,0.61,15
"AK-47 | The Oligarch (Minimal Wear)","USD",191.96,501.83,266.37,239.97,31
"AK-47 | The Oligarch (Well-Worn)","USD",68.01,836.38,147.21,92.6,14
"AK-47 | The Outsiders (Battle-Scarred)","USD",9.48,15.52,10.98,10.2,26
"AK-47 | The Outsiders (Factory New)","USD",127.42,382.36,183.41,160.64,14
"AK-47 | The Outsiders (Field-Tested)","USD",10.55,59.73,16.84,12.37,71
"AK-47 | The Outsiders (Minimal Wear)","USD",25.09,71.69,32.81,28.33,106
"AK-47 | The Outsiders (Well-Worn)","USD",9.67,274.82,31.09,13.85,15
"AK-47 | Uncharted (Battle-Scarred)","USD",0.92,8.36,1.45,1.09,76
"AK-47 | Uncharted (Factory New)","USD",2.76,119.49,12.82,5.27,127
"AK-47 | Uncharted (Field-Tested)","USD",0.92,108.48,2.09,1.1,275
"AK-47 | Uncharted (Minimal Wear)","USD",1.29,439.4,9.98,1.83,95
"AK-47 | Uncharted (Well-Worn)","USD",1.49,9.64,2.19,1.96,61
"Sticker | NiKo | Berlin 2019","USD",1.39,17.24,7.68,5.84,29
"Sticker | NiKo | Boston 2018","USD",12.37,41.82,27.9,29.02,12
"AK-47 | VariCamo Grey (Battle-Scarred)","USD",0.33,17.33,1.3,1.43,67
"Sticker | NiKo | Budapest 2025","USD",0.07,0.07,0.07,0.07,16
"AK-47 | VariCamo Grey (Factory New)","USD",1.15,66.41,7.18,2.26,85
"AK-47 | VariCamo Grey (Field-Tested)","USD",0.12,3.13,0.91,1.04,118
"AK-47 | VariCamo Grey (Minimal Wear)","USD",0.43,29.87,2.99,1.52,28
"AK-47 | VariCamo Grey (Well-Worn)","USD",0.47,0.67,0.56,0.53,11
"AK-47 | Vulcan (Battle-Scarred)","USD",129.05,537.68,191.1,165.23,12
"AK-47 | Vulcan (Factory New)","USD",816.21,2836.41,1305.14,1194.87,25
"AK-47 | Vulcan (Field-Tested)","USD",227.36,12412.63,565.45,316.64,65
"AK-47 | Vulcan (Minimal Wear)","USD",460.02,119486.83,3051.91,650.3,50
"AK-47 | Vulcan (Well-Worn)","USD",173.83,358.46,215.75,197.15,7
"AK-47 | Wasteland Rebel (Battle-Scarred)","USD",87.75,91.73,89.75,89.75,2
"AK-47 | Wasteland Rebel (Factory New)","USD",519.77,1973.74,924.34,583.1,5
"AK-47 | Wasteland Rebel (Field-Tested)","USD",86.78,1075.37,136.91,95.59,49
"AK-47 | Wasteland Rebel (Minimal Wear)","USD",154.9,219.86,172.49,166.34,17
"AK-47 | Wasteland Rebel (Well-Worn)","USD",80.89,90.25,85.58,85.58,2
"AK-47 | Wild Lotus (Battle-Scarred)","USD",4301.53,4659.86,4485.97,4496.53,3
"AK-47 | Wild Lotus (Field-Tested)","USD",10156.38,10156.38,10156.38,10156.38,1
"AK-47 | Wintergreen (Battle-Scarred)","USD",1.16,9.55,2.25,1.71,28
"AK-47 | Wintergreen (Factory New)","USD",10.74,179.24,23.69,13.13,154
"AK-47 | Wintergreen (Field-Tested)","USD",1.74,118.29,3.73,2.01,203
"AK-47 | Wintergreen (Minimal Wear)","USD",4.55,59.73,11.14,10.5,225
"AK-47 | Wintergreen (Well-Worn)","USD",2.4,8.83,4.16,3.09,14
"AK-47 | X-Ray (Battle-Scarred)","USD",521.17,521.17,521.17,521.17,1
"AK-47 | X-Ray (Factory New)","USD",6420.36,6420.36,6420.36,6420.36,1
"AK-47 | X-Ray (Field-Tested)","USD",1194.87,1194.87,1194.87,1194.87,1
"AK-47 | X-Ray (Minimal Wear)","USD",2150.76,2150.76,2150.76,2150.76,1
"Alyx Pin","USD",32.78,56.33,42.0,40.55,7
"Ambush Sticker Capsule","USD",1.06,2.74,1.27,1.19,26
